,描述,位置信息,区域,房屋信息,关注信息,总价,单价,Type,Area,Direction,Decoration,Floor,Other,Floor_No,Total_Floor,1室1厅 ,1室2厅 ,2室1厅 ,2室2厅 ,3室1厅 ,3室2厅 ,4室1厅 ,4室2厅 ,5室2厅 ,5室3厅 ,6室3厅 ,室厅,南,东,西,东南,西南,东北,北,西北
0,嘉裕第六洲龙泽台 4室2厅 280万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 223.73平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 31天以前发布,280,12516.0,4室2厅 , 223.73平米 , 南 , 毛坯 , 低楼层(共9层)  , 暂无数据, 低楼层,9  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,嘉裕第六洲 装修下叠 户型方正 业主诚心出售,嘉裕第六洲 ,崇州,4室2厅 | 159.62平米 | 南 | 精装 | 低楼层(共4层)  | 板楼,7人关注 / 8个月以前发布,245,15349.0,4室2厅 , 159.62平米 , 南 , 精装 , 低楼层(共4层)  , 板楼, 低楼层,4  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,青城神韵 清水房 出行方便 街子古镇,青城神韵一期 ,崇州,2室1厅 | 65.46平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,8人关注 / 6个月以前发布,66,10083.0,2室1厅 , 65.46平米 , 南 北 , 其他 , 低楼层(共3层)  , 暂无数据, 低楼层,3  ,False,0,1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
86,嘉裕第六洲 4室2厅 310万,嘉裕第六洲 ,崇州,4室2厅 | 183平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,1人关注 / 4个月以前发布,310,16940.0,4室2厅 , 183平米 , 南 北 , 毛坯 , 低楼层(共3层)  , 板楼, 低楼层,3  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
91,嘉裕第六洲 小区档次高，环境幽静，绿化高,嘉裕第六洲 ,崇州,4室2厅 | 188.2平米 | 南 | 毛坯 | 3层  | 板楼,13人关注 / 6个月以前发布,280,14878.0,4室2厅 , 188.2平米 , 南 , 毛坯 , 3层  , 板楼, 3层  , 3  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,房子是别墅小区的叠拼户型，小区环境安静，安全性高,嘉裕第六洲 ,崇州,4室2厅 | 141.5平米 | 东南 | 毛坯 | 中楼层(共4层)  | 板楼,9人关注 / 4个月以前发布,169,11944.0,4室2厅 , 141.5平米 , 东南 , 毛坯 , 中楼层(共4层)  , 板楼, 中楼层,4  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
96,羊马湿地公园斑斓屿联排清水330万中间位置环境漂亮,嘉裕第六洲 ,崇州,4室2厅 | 182平米 | 南 | 其他 | 低楼层(共3层)  | 板楼,0人关注 / 2个月以前发布,330,18132.0,4室2厅 , 182平米 , 南 , 其他 , 低楼层(共3层)  , 板楼, 低楼层,3  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,嘉裕第六洲 4室2厅 290万,嘉裕第六洲 ,崇州,4室2厅 | 180平米 | 东南 | 其他 | 低楼层(共3层)  | 板楼,2人关注 / 2个月以前发布,290,16112.0,4室2厅 , 180平米 , 东南 , 其他 , 低楼层(共3层)  , 板楼, 低楼层,3  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
100,嘉裕第六洲 4室2厅 180万,嘉裕第六洲 ,崇州,4室2厅 | 140平米 | 东南 | 其他 | 中楼层(共4层)  | 板楼,1人关注 / 1个月以前发布,180,12858.0,4室2厅 , 140平米 , 东南 , 其他 , 中楼层(共4层)  , 板楼, 中楼层,4  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
101,别墅小区双拼户型，转角大花园，屋顶带花园,嘉裕第六洲 ,崇州,5室2厅 | 183.71平米 | 东南 | 毛坯 | 低楼层(共3层)  | 板楼,0人关注 / 1个月以前发布,330,17964.0,5室2厅 , 183.71平米 , 东南 , 毛坯 , 低楼层(共3层)  , 板楼, 低楼层,3  ,False,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
102,崇州 滨江新城小区 套三双卫跃层 真洋房 带花园,滨江新城小区 ,崇州,3室1厅 | 138平米 | 东南 | 精装 | 中楼层(共5层)  | 暂无数据,7人关注 / 10个月以前发布,135,9783.0,3室1厅 , 138平米 , 东南 , 精装 , 中楼层(共5层)  , 暂无数据, 中楼层,5  ,False,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
104,嘉裕的双拼别墅来了 布局合理价格实惠就等有眼光的您,嘉裕第六洲 ,崇州,6室3厅 | 301.82平米 | 南 | 其他 | 低楼层(共3层)  | 板楼,4人关注 / 3个月以前发布,360,11928.0,6室3厅 , 301.82平米 , 南 , 其他 , 低楼层(共3层)  , 板楼, 低楼层,3  ,False,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,城在公园里 端头联排 享2000余亩生态湿地公园,嘉裕第六洲 ,崇州,4室2厅 | 213平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,2人关注 / 2个月以前发布,350,16432.0,4室2厅 , 213平米 , 南 北 , 毛坯 , 低楼层(共3层)  , 板楼, 低楼层,3  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
106,城长在自然里 联排端头带转角大花园,嘉裕第六洲 ,崇州,4室2厅 | 225平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,1人关注 / 2个月以前发布,360,16000.0,4室2厅 , 225平米 , 南 北 , 毛坯 , 低楼层(共3层)  , 板楼, 低楼层,3  ,False,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
107,嘉裕第六洲 4室2厅 600万,嘉裕第六洲 ,崇州,4室2厅 | 180平米 | 东南 | 其他 | 低楼层(共2层)  | 板楼,2人关注 / 1个月以前发布,600,33334.0,4室2厅 , 180平米 , 东南 , 其他 , 低楼层(共2层)  , 板楼, 低楼层,2  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
110,蜀山栖镇 1室1厅 48万,蜀山栖镇 ,崇州,1室1厅 | 48.35平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,7人关注 / 5个月以前发布,48,9928.0,1室1厅 , 48.35平米 , 南 , 其他 , 高楼层(共4层)  , 暂无数据, 高楼层,4  ,True,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,嘉裕第六洲龙泽台 3室2厅 90万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.57平米 | 东南 | 毛坯 | 中楼层(共9层)  | 暂无数据,2人关注 / 10天以前发布,90,7168.0,3室2厅 , 125.57平米 , 东南 , 毛坯 , 中楼层(共9层)  , 暂无数据, 中楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
112,嘉裕第六洲 电梯洋房 跃层带花园 羊马新城 2800亩湿地,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 204.77平米 | 东 东南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,166,8107.0,3室2厅 , 204.77平米 , 东 东南 , 毛坯 , 低楼层(共7层)  , 暂无数据, 低楼层,7  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
113,嘉裕第六洲龙泽台 3室2厅 84.5万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 106平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,1人关注 / 1天以前发布,84.5,7972.0,3室2厅 , 106平米 , 南 , 毛坯 , 低楼层(共7层)  , 板楼, 低楼层,7  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,蜀山栖镇 3室2厅 226万,蜀山栖镇 ,崇州,3室2厅 | 146.67平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 28天以前发布,226,15409.0,3室2厅 , 146.67平米 , 南 北 , 其他 , 低楼层(共3层)  , 暂无数据, 低楼层,3  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
116,愿景春之雪 3室2厅 81.8万,愿景春之雪 ,崇州,3室2厅 | 124.34平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 25天以前发布,81.8,6579.0,3室2厅 , 124.34平米 , 南 , 精装 , 高楼层(共7层)  , 板楼, 高楼层,7  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,上林西江国际社区 3室2厅 99.9万,上林西江国际社区 ,崇州,3室2厅 | 121.89平米 | 西北 | 其他 | 中楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,99.9,8196.0,3室2厅 , 121.89平米 , 西北 , 其他 , 中楼层(共18层)  , 板楼, 中楼层,18  ,False,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118,青城神韵一期 4室2厅 82万,青城神韵一期 ,崇州,4室2厅 | 88平米 | 东南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,82,9319.0,4室2厅 , 88平米 , 东南 , 其他 , 低楼层(共3层)  , 暂无数据, 低楼层,3  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
119,崇州市区别墅，居家装修，。。。。。。。。。,乐瑞街4号 ,崇州,4室2厅 | 319平米 | 东南 | 精装 | 低楼层(共2层)  | 暂无数据,3人关注 / 2个月以前发布,268,8402.0,4室2厅 , 319平米 , 东南 , 精装 , 低楼层(共2层)  , 暂无数据, 低楼层,2  ,False,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
121,蜀山栖镇 2室2厅 145万,蜀山栖镇 ,崇州,2室2厅 | 94.34平米 | 西 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 4天以前发布,145,15370.0,2室2厅 , 94.34平米 , 西 , 其他 , 低楼层(共2层)  , 暂无数据, 低楼层,2  ,False,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
122,青城神韵一期 1室1厅 33.5万,青城神韵一期 ,崇州,1室1厅 | 39.72平米 | 东 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 1天以前发布,33.5,8435.0,1室1厅 , 39.72平米 , 东 , 其他 , 低楼层(共2层)  , 暂无数据, 低楼层,2  ,True,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
124,房子是独栋别墅，小区环境安静，安全性高,嘉裕第六洲 ,崇州,5室2厅 | 186平米 | 东南 | 精装 | 低楼层(共3层)  | 板楼,10人关注 / 8个月以前发布,440,23656.0,5室2厅 , 186平米 , 东南 , 精装 , 低楼层(共3层)  , 板楼, 低楼层,3  ,False,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
128,嘉裕第六洲龙泽台 3室2厅 120万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 126.05平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,120,9521.0,3室2厅 , 126.05平米 , 南 , 毛坯 , 中楼层(共6层)  , 板楼, 中楼层,6  ,False,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,满五唯一，中间楼层可拎包入住，小区生活设施完善，,一品江山 ,崇州,1室1厅 | 47平米 | 南 北 | 简装 | 中楼层(共14层)  | 板楼,0人关注 / 31天以前发布,40,8511.0,1室1厅 , 47平米 , 南 北 , 简装 , 中楼层(共14层)  , 板楼, 中楼层,14  ,True,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
130,昙云雅居 2室2厅 52万,昙云雅居 ,崇州,2室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共3层)  | 板塔结合,1人关注 / 30天以前发布,52,5843.0,2室2厅 , 89平米 , 南 , 毛坯 , 低楼层(共3层)  , 板塔结合, 低楼层,3  ,False,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,蜀山栖镇 2室1厅 128万,蜀山栖镇 ,崇州,2室1厅 | 95.73平米 | 西南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 3个月以前发布,128,13371.0,2室1厅 , 95.73平米 , 西南 , 其他 , 低楼层(共3层)  , 暂无数据, 低楼层,3  ,False,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
136,青城神韵一期 1室2厅 42.3万,青城神韵一期 ,崇州,1室2厅 | 46.04平米 | 西南 | 其他 | 低楼层(共3层)  | 暂无数据,3人关注 / 1个月以前发布,42.3,9188.0,1室2厅 , 46.04平米 , 西南 , 其他 , 低楼层(共3层)  , 暂无数据, 低楼层,3  ,False,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
137,青城神韵一期 2室2厅 67万,青城神韵一期 ,崇州,2室2厅 | 66.24平米 | 东南 西北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 1个月以前发布,67,10115.0,2室2厅 , 66.24平米 , 东南 西北 , 其他 , 低楼层(共3层)  , 暂无数据, 低楼层,3  ,False,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
138,青城神韵一期 3室2厅 85万,青城神韵一期 ,崇州,3室2厅 | 76.2平米 | 东 西 | 其他 | 低楼层(共1层)  | 暂无数据,1人关注 / 1个月以前发布,85,11155.0,3室2厅 , 76.2平米 , 东 西 , 其他 , 低楼层(共1层)  , 暂无数据, 低楼层,1  ,False,0,0,0,0,1,0,0,0,0,0,,,1.0,1.0,,,,,
139,昙云雅居 2室1厅 36万,昙云雅居 ,崇州,2室1厅 | 72.46平米 | 南 | 其他 | 低楼层(共1层)  | 板塔结合,2人关注 / 15天以前发布,36,4969.0,2室1厅 , 72.46平米 , 南 , 其他 , 低楼层(共1层)  , 板塔结合, 低楼层,1  ,False,0,1,0,0,0,0,0,0,0,0,,1.0,,,,,,,
141,嘉裕第六洲龙泽台 3室2厅 130万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 127.07平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,130,10231.0,3室2厅 , 127.07平米 , 南 , 简装 , 高楼层(共7层)  , 板楼, 高楼层,7  ,False,0,0,0,0,1,0,0,0,0,0,,1.0,,,,,,,
142,嘉裕第六洲龙泽台 4室2厅 175万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 157.24平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,175,11130.0,4室2厅 , 157.24平米 , 南 , 其他 , 高楼层(共7层)  , 暂无数据, 高楼层,7  ,False,0,0,0,0,0,0,1,0,0,0,,1.0,,,,,,,
143,嘉裕第六洲龙泽台 3室2厅 125万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 126.74平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,125,9863.0,3室2厅 , 126.74平米 , 南 , 其他 , 中楼层(共6层)  , 板楼, 中楼层,6  ,False,0,0,0,0,1,0,0,0,0,0,,1.0,,,,,,,
144,新小区环境好，装修套三，户型方正，电梯洋房,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.15平米 | 东南 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,120,9589.0,3室2厅 , 125.15平米 , 东南 , 其他 , 中楼层(共9层)  , 暂无数据, 中楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,,,,,1.0,,,,
145,嘉裕第六洲龙泽台 3室1厅 158万,嘉裕第六洲龙泽台 ,崇州,3室1厅 | 161.98平米 | 东南 | 其他 | 高楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,158,9755.0,3室1厅 , 161.98平米 , 东南 , 其他 , 高楼层(共9层)  , 暂无数据, 高楼层,9  ,False,0,0,0,1,0,0,0,0,0,0,,,,,1.0,,,,
146,嘉裕第六洲龙泽台 3室2厅 138万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 126.27平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,138,10929.0,3室2厅 , 126.27平米 , 南 , 毛坯 , 高楼层(共9层)  , 暂无数据, 高楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,,1.0,,,,,,,
147,嘉裕第六洲龙泽台 3室2厅 126万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 126.27平米 | 南 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,126,9979.0,3室2厅 , 126.27平米 , 南 , 其他 , 中楼层(共9层)  , 暂无数据, 中楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,,1.0,,,,,,,
148,羊马新城，自带2000亩的湿地公园总高7层花园电梯洋房,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125平米 | 东南 | 其他 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,120,9600.0,3室2厅 , 125平米 , 东南 , 其他 , 低楼层(共9层)  , 板楼, 低楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,,,,,1.0,,,,
153,电梯洋房1梯两户享受2000亩湿地公园。看房提前联系,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125平米 | 西南 | 其他 | 中楼层(共9层)  | 板楼,0人关注 / 31天以前发布,150,12000.0,3室2厅 , 125平米 , 西南 , 其他 , 中楼层(共9层)  , 板楼, 中楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,,,,,,1.0,,,
155,嘉裕第六洲龙泽台 3室1厅 165万,嘉裕第六洲龙泽台 ,崇州,3室1厅 | 162.19平米 | 东南 | 其他 | 高楼层(共9层)  | 暂无数据,0人关注 / 19天以前发布,165,10174.0,3室1厅 , 162.19平米 , 东南 , 其他 , 高楼层(共9层)  , 暂无数据, 高楼层,9  ,False,0,0,0,1,0,0,0,0,0,0,,,,,1.0,,,,
156,嘉裕第六洲龙泽台 3室2厅 223万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 202.09平米 | 东南 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 17天以前发布,223,11035.0,3室2厅 , 202.09平米 , 东南 , 其他 , 低楼层(共9层)  , 暂无数据, 低楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,,,,,1.0,,,,
157,嘉裕第六洲龙泽台 3室2厅 105万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 125.13平米 | 东南 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 17天以前发布,105,8392.0,3室2厅 , 125.13平米 , 东南 , 其他 , 中楼层(共9层)  , 暂无数据, 中楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,,,,,1.0,,,,
158,嘉裕第六洲龙泽台 4室2厅 135万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 204.72平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,4人关注 / 16天以前发布,135,6595.0,4室2厅 , 204.72平米 , 东南 , 其他 , 低楼层(共6层)  , 暂无数据, 低楼层,6  ,False,0,0,0,0,0,0,1,0,0,0,,,,,1.0,,,,
162,成熟配套 区域低价现房 交通出行便利,西蜀御景二期 ,崇州,4室2厅 | 166平米 | 西南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,90,5422.0,4室2厅 , 166平米 , 西南 , 其他 , 高楼层(共18层)  , 塔楼, 高楼层,18  ,False,0,0,0,0,0,0,1,0,0,0,,,,,,1.0,,,
163,嘉裕第六洲 4室2厅 260万,嘉裕第六洲 ,崇州,4室2厅 | 160平米 | 东南 | 其他 | 低楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,260,16250.0,4室2厅 , 160平米 , 东南 , 其他 , 低楼层(共4层)  , 板楼, 低楼层,4  ,False,0,0,0,0,0,0,1,0,0,0,,,,,1.0,,,,
165,嘉裕第六洲龙泽台 2室2厅 150万,嘉裕第六洲龙泽台 ,崇州,2室2厅 | 202.84平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,150,7395.0,2室2厅 , 202.84平米 , 南 , 毛坯 , 低楼层(共9层)  , 暂无数据, 低楼层,9  ,False,0,0,1,0,0,0,0,0,0,0,,1.0,,,,,,,
166,上林西江国际社区 3室1厅 83万,上林西江国际社区 ,崇州,3室1厅 | 96.22平米 | 西北 | 简装 | 低楼层(共11层)  | 板楼,2人关注 / 1个月以前发布,83,8627.0,3室1厅 , 96.22平米 , 西北 , 简装 , 低楼层(共11层)  , 板楼, 低楼层,11  ,False,0,0,0,1,0,0,0,0,0,0,,,,,,,,,1.0
170,西江明珠 4室2厅 95万,西江明珠 ,崇州,4室2厅 | 133.74平米 | 东 西 | 精装 | 高楼层(共5层)  | 暂无数据,1人关注 / 2个月以前发布,95,7104.0,4室2厅 , 133.74平米 , 东 西 , 精装 , 高楼层(共5层)  , 暂无数据, 高楼层,5  ,False,0,0,0,0,0,0,1,0,0,0,,,1.0,1.0,,,,,
171,愿景浣溪沙二期 3室2厅 110万,愿景浣溪沙二期 ,崇州,3室2厅 | 113.67平米 | 西南 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 2个月以前发布,110,9678.0,3室2厅 , 113.67平米 , 西南 , 精装 , 中楼层(共28层)  , 板塔结合, 中楼层,28  ,False,0,0,0,0,1,0,0,0,0,0,,,,,,1.0,,,
173,崇州  套四双卫  带屋顶花园  读书方便,唐安东路82号院 ,崇州,4室1厅 | 131.48平米 | 西南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,88,6694.0,4室1厅 , 131.48平米 , 西南 , 精装 , 高楼层(共5层)  , 暂无数据, 高楼层,5  ,False,0,0,0,0,0,1,0,0,0,0,,,,,,1.0,,,
174,嘉裕第六洲龙泽台 4室2厅 225万,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 237.64平米 | 南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,225,9469.0,4室2厅 , 237.64平米 , 南 , 毛坯 , 低楼层(共7层)  , 暂无数据, 低楼层,7  ,False,0,0,0,0,0,0,1,0,0,0,,1.0,,,,,,,
175,嘉裕第六洲龙泽台花园洋房，清水大套三。,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 126.8平米 | 东 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,130,10253.0,3室2厅 , 126.8平米 , 东 , 毛坯 , 高楼层(共6层)  , 暂无数据, 高楼层,6  ,False,0,0,0,0,1,0,0,0,0,0,,,1.0,,,,,,
177,嘉裕第六洲龙泽台 洋房底跃 清水带花园地下室 全款,嘉裕第六洲龙泽台 ,崇州,4室2厅 | 225.4平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,225,9983.0,4室2厅 , 225.4平米 , 南 , 毛坯 , 低楼层(共6层)  , 板楼, 低楼层,6  ,False,0,0,0,0,0,0,1,0,0,0,,1.0,,,,,,,
183,青城神韵小区 街子古镇  环境舒适,青城神韵一期 ,崇州,2室1厅 | 69平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 3个月以前发布,72,10435.0,2室1厅 , 69平米 , 南 北 , 其他 , 低楼层(共3层)  , 暂无数据, 低楼层,3  ,False,0,1,0,0,0,0,0,0,0,0,,1.0,,,,,,1.0,
186,上林西江国际社区 3室1厅 92万,上林西江国际社区 ,崇州,3室1厅 | 93平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,92,9893.0,3室1厅 , 93平米 , 南 北 , 简装 , 高楼层(共8层)  , 板楼, 高楼层,8  ,False,0,0,0,1,0,0,0,0,0,0,,1.0,,,,,,1.0,
187,优质度假房出售，精装修，位置好。,青城神韵一期 ,崇州,1室1厅 | 40平米 | 南 | 其他 | 低楼层(共2层)  | 暂无数据,10人关注 / 2个月以前发布,31,7750.0,1室1厅 , 40平米 , 南 , 其他 , 低楼层(共2层)  , 暂无数据, 低楼层,2  ,True,0,0,0,0,0,0,0,0,0,0,,1.0,,,,,,,
188,青城神韵二期 清水 街子古镇 交通方便,青城神韵二期 ,崇州,1室1厅 | 48.82平米 | 西南 | 其他 | 高楼层(共4层)  | 暂无数据,8人关注 / 2个月以前发布,40,8194.0,1室1厅 , 48.82平米 , 西南 , 其他 , 高楼层(共4层)  , 暂无数据, 高楼层,4  ,True,0,0,0,0,0,0,0,0,0,0,,,,,,1.0,,,
190,前后中庭 中间楼层 不临街 预约看房,西蜀御景二期 ,崇州,3室2厅 | 128.7平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,110,8548.0,3室2厅 , 128.7平米 , 南 , 其他 , 低楼层(共18层)  , 塔楼, 低楼层,18  ,False,0,0,0,0,1,0,0,0,0,0,,1.0,,,,,,,
191,生态湿地公园旁 双拼别墅带车位,嘉裕第六洲 ,崇州,4室2厅 | 209平米 | 南 北 | 其他 | 低楼层(共3层)  | 板楼,0人关注 / 2个月以前发布,380,18182.0,4室2厅 , 209平米 , 南 北 , 其他 , 低楼层(共3层)  , 板楼, 低楼层,3  ,False,0,0,0,0,0,0,1,0,0,0,,1.0,,,,,,1.0,
193,缇香府 2室1厅 85万,缇香府 ,崇州,2室1厅 | 97平米 | 东 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,85,8763.0,2室1厅 , 97平米 , 东 , 其他 , 高楼层(共18层)  , 暂无数据, 高楼层,18  ,False,0,1,0,0,0,0,0,0,0,0,,,1.0,,,,,,
194,嘉裕第六洲 4室2厅 250万,嘉裕第六洲 ,崇州,4室2厅 | 180平米 | 南 | 其他 | 低楼层(共3层)  | 板楼,0人关注 / 2个月以前发布,250,13889.0,4室2厅 , 180平米 , 南 , 其他 , 低楼层(共3层)  , 板楼, 低楼层,3  ,False,0,0,0,0,0,0,1,0,0,0,,1.0,,,,,,,
195,嘉裕第六洲龙泽台 3室2厅 108万,嘉裕第六洲龙泽台 ,崇州,3室2厅 | 124.45平米 | 南 | 毛坯 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,108,8679.0,3室2厅 , 124.45平米 , 南 , 毛坯 , 低楼层(共9层)  , 板楼, 低楼层,9  ,False,0,0,0,0,1,0,0,0,0,0,,1.0,,,,,,,
